game,year,week,total_jp_size,total_jp_sales
Lotto Max,2012,Monday,35268623.34032145,278.2721831709623
Lotto Max,2012,Tuesday,35567957.09736886,354.52818836936484
Lotto Max,2012,Wednesday,35557692.307692304,491.8380341880342
Lotto Max,2012,Thursday,35557692.307692304,714.5711538461538
Lotto Max,2012,Friday,35557692.307692304,2380.0286324786325
Lotto Max,2012,Saturday,35634615.384615384,215.60982905982905
Lotto Max,2012,Sunday,35264150.943396226,155.34779874213837
Lotto Max,2013,Monday,27745623.093681917,225.9578660968661
Lotto Max,2013,Tuesday,27604908.126772724,284.42744275907427
Lotto Max,2013,Wednesday,27241013.071895424,373.1107843137255
Lotto Max,2013,Thursday,27250000,538.7429487179487
Lotto Max,2013,Friday,27250000,1798.8102564102564
Lotto Max,2013,Saturday,27756712.962962963,187.0156339031339
Lotto Max,2013,Sunday,27735230.758970253,131.84453995273324
Lotto Max,2014,Monday,27921230.76923077,227.50029914529915
Lotto Max,2014,Tuesday,27922171.945701357,275.7383316574493
Lotto Max,2014,Wednesday,28260361.232059345,366.11883970327364
Lotto Max,2014,Thursday,28038034.188034188,530.1976872800402
Lotto Max,2014,Friday,28038461.53846154,1761.925
Lotto Max,2014,Saturday,27926981.732864086,191.3709234120999
Lotto Max,2014,Sunday,27919264.95726496,136.0921452991453
Lotto Max,2015,Monday,40603967.74094253,282.6329919147146
Lotto Max,2015,Tuesday,40602383.945031,350.75495642701526
Lotto Max,2015,Wednesday,40596153.84615385,462.02200854700857
Lotto Max,2015,Thursday,40585030.64021932,657.7852201257862
Lotto Max,2015,Friday,40207227.24987431,2145.0734498072734
Lotto Max,2015,Saturday,40596153.84615385,240.5096153846154
Lotto Max,2015,Sunday,40612205.65149137,174.09931100645386
Lotto 649,2012,Monday,9826947.266569909,429.2510925657152
Lotto 649,2012,Tuesday,9961312.21719457,620.976860231272
Lotto 649,2012,Wednesday,9961538.461538462,1698.2871794871794
Lotto 649,2012,Thursday,11000000,555.4386752136752
Lotto 649,2012,Friday,11000000,906.9566239316239
Lotto 649,2012,Saturday,11000000,1578.0880341880343
Lotto 649,2012,Sunday,9830188.679245284,251.0846960167715
Lotto 649,2013,Monday,10022999.497234792,420.65579537456006
Lotto 649,2013,Tuesday,9888263.989679083,644.7606555394291
Lotto 649,2013,Wednesday,9980547.176135411,1627.9176554382436
Lotto 649,2013,Thursday,12115384.615384616,569.3935897435897
Lotto 649,2013,Friday,12115384.615384616,939.6128205128205
Lotto 649,2013,Saturday,12115384.615384616,1644.8181623931623
Lotto 649,2013,Sunday,10017948.717948718,256.92188704541644
Lotto 649,2014,Monday,8749019.607843136,339.3255153343389
Lotto 649,2014,Tuesday,8750816.993464053,488.3636794033853
Lotto 649,2014,Wednesday,8680031.446540881,1301.2970730527334
Lotto 649,2014,Thursday,8519021.283727167,412.8396346572817
Lotto 649,2014,Friday,8519230.76923077,681.957264957265
Lotto 649,2014,Saturday,8519230.76923077,1202.0264957264958
Lotto 649,2014,Sunday,8750381.263616558,209.0554298642534
Lotto 649,2015,Monday,13638377.744260097,367.3167253226077
Lotto 649,2015,Tuesday,13634615.384615384,542.9844017094017
Lotto 649,2015,Wednesday,13634615.384615384,1432.7852564102564
Lotto 649,2015,Thursday,14527773.746169973,485.1631188517981
Lotto 649,2015,Friday,14499673.202614378,807.4657365510307
Lotto 649,2015,Saturday,14500000,1337.6138888888888
Lotto 649,2015,Sunday,13636496.56443774,230.51185687950394
Lottario,2012,Monday,446475.90553073346,69.31499642688877
Lottario,2012,Tuesday,449781.1917929565,74.99255488520194
Lottario,2012,Wednesday,449213.31151118386,99.40681942171304
Lottario,2012,Thursday,449766.3817663818,83.26125356125357
Lottario,2012,Friday,449070.3347578348,176.50619658119658
Lottario,2012,Saturday,449230.76923076925,154.22286324786324
Lottario,2012,Sunday,446488.6985828214,47.87873151582457
Lottario,2013,Monday,489180.4104291289,76.04979134388799
Lottario,2013,Tuesday,484382.08123113785,86.19620203346618
Lottario,2013,Wednesday,487181.5610859729,109.7456741243506
Lottario,2013,Thursday,487439.3210275563,92.5945587636764
Lottario,2013,Friday,486923.07692307694,192.6352564102564
Lottario,2013,Saturday,486970.3368526898,175.0006745433216
Lottario,2013,Sunday,489082.54737022,55.68016165193147
Lottario,2014,Monday,387278.05755354255,65.78281267797993
Lottario,2014,Tuesday,387377.43841126194,69.96628260991007
Lottario,2014,Wednesday,385727.93707545206,91.75003697279352
Lottario,2014,Thursday,385816.9950990611,77.80014418733931
Lottario,2014,Friday,385787.4382017764,167.61575854700854
Lottario,2014,Saturday,385634.6153846154,150.93397435897435
Lottario,2014,Sunday,387321.81400490936,48.94117240877154
Lottario,2015,Monday,494252.41541269416,75.51397004079931
Lottario,2015,Tuesday,493949.8834498835,83.82703962703962
Lottario,2015,Wednesday,494100.5202526942,110.17528799702713
Lottario,2015,Thursday,491804.0165330978,94.79678330283335
Lottario,2015,Friday,496261.1027316909,192.4583542818837
Lottario,2015,Saturday,496207.47444276855,167.44358555387967
Lottario,2015,Sunday,493669.27166947664,57.19515951888364
